Timestamp(ms),CO_PPM,Temperature(C),Pressure(hPa),Altitude(m),Status
154514,12.56,20.55,1002.64,40.56,88.68,Warning
156532,10.78,20.55,1002.64,40.45,88.70,Warning
158550,13.49,20.56,1002.64,40.17,88.71,Warning
160568,14.21,20.56,1002.64,40.07,88.67,Warning
162586,14.46,20.56,1002.64,40.04,88.69,Warning
164604,14.95,20.56,1002.64,39.96,88.71,Warning
166630,13.26,20.57,1002.64,39.90,88.71,Warning
168648,13.73,20.57,1002.64,39.78,88.73,Warning
170666,13.97,20.57,1002.64,39.89,88.71,Warning
172684,14.46,20.57,1002.64,39.98,88.73,Warning
174702,14.70,20.57,1002.64,39.92,88.71,Warning
176720,14.70,20.56,1002.64,40.06,88.71,Warning
178738,14.95,20.56,1002.64,40.22,88.71,Warning
180756,15.20,20.56,1002.64,40.01,88.73,Warning
182774,15.70,20.56,1002.64,39.92,88.70,Warning
184792,15.45,20.56,1002.64,39.87,88.69,Warning
186812,15.96,20.56,1002.64,39.84,88.70,Warning
188830,15.70,20.56,1002.65,39.89,88.65,Warning
190848,15.96,20.56,1002.66,39.96,88.58,Warning
192866,16.48,20.55,1002.65,40.12,88.64,Warning
194884,15.45,20.55,1002.65,40.14,88.64,Warning
196902,14.70,20.55,1002.65,40.21,88.61,Warning
198920,14.95,20.55,1002.65,40.16,88.61,Warning
200938,13.73,20.55,1002.65,39.87,88.61,Warning
202956,12.79,20.55,1002.66,39.73,88.58,Warning
204974,12.33,20.55,1002.65,39.70,88.59,Warning
206992,12.33,20.55,1002.66,39.66,88.58,Warning
209012,12.56,20.55,1002.65,39.66,88.60,Warning
211030,12.79,20.55,1002.65,39.61,88.62,Warning
213048,12.56,20.55,1002.65,39.61,88.65,Warning
215066,12.33,20.55,1002.65,39.61,88.66,Warning
217084,12.33,20.55,1002.65,39.61,88.63,Warning
219102,12.11,20.55,1002.65,39.60,88.63,Warning
221120,12.33,20.55,1002.66,39.57,88.56,Warning
223138,12.56,20.55,1002.66,39.57,88.58,Warning
225156,12.33,20.56,1002.66,39.56,88.55,Warning
227174,12.11,20.56,1002.66,39.59,88.51,Warning
229192,12.11,20.56,1002.67,39.59,88.46,Warning
231212,12.11,20.56,1002.69,39.54,88.26,Warning
233230,12.56,20.56,1002.71,39.59,88.11,Warning
235248,12.33,20.57,1002.72,39.55,88.07,Warning
237266,12.33,20.57,1002.71,39.52,88.12,Warning
239284,12.56,20.57,1002.71,39.50,88.11,Warning
241302,12.56,20.57,1002.71,39.94,88.11,Warning
243320,12.56,20.57,1002.71,40.02,88.09,Warning
245338,12.79,20.57,1002.71,39.96,88.10,Warning
247356,12.79,20.57,1002.71,39.90,88.13,Warning
249374,12.79,20.57,1002.70,39.78,88.19,Warning
251394,12.79,20.57,1002.70,39.75,88.22,Warning
253412,12.79,20.57,1002.70,39.69,88.22,Warning
255430,12.56,20.57,1002.70,39.65,88.22,Warning
257448,12.79,20.57,1002.69,39.64,88.26,Warning
259466,12.79,20.57,1002.69,39.61,88.28,Warning
261484,12.79,20.57,1002.69,39.58,88.27,Warning
263502,12.79,20.56,1002.69,39.56,88.31,Warning
265520,12.56,20.56,1002.69,39.55,88.29,Warning
267538,12.56,20.56,1002.69,39.56,88.28,Warning
269556,12.56,20.56,1002.69,39.54,88.28,Warning
271574,12.56,20.56,1002.69,39.53,88.30,Warning
273594,12.79,20.56,1002.69,39.53,88.30,Warning
275612,13.26,20.56,1002.68,39.50,88.35,Warning
277630,13.02,20.56,1002.68,39.53,88.38,Warning
279648,13.02,20.56,1002.68,39.54,88.36,Warning
281666,13.02,20.55,1002.68,39.51,88.35,Warning
283684,13.26,20.55,1002.68,39.51,88.36,Warning
285702,13.26,20.55,1002.68,39.49,88.36,Warning
287720,13.26,20.55,1002.68,39.53,88.35,Warning
289738,13.26,20.55,1002.68,39.54,88.37,Warning
291756,13.26,20.55,1002.68,39.56,88.34,Warning
293774,13.26,20.54,1002.68,39.54,88.36,Warning
295794,13.26,20.54,1002.69,39.54,88.33,Warning
297812,13.26,20.54,1002.68,39.53,88.37,Warning
299830,13.02,20.54,1002.68,39.54,88.37,Warning
301848,13.26,20.54,1002.68,39.54,88.34,Warning
303866,13.02,20.54,1002.68,39.53,88.36,Warning
305884,13.26,20.54,1002.68,39.51,88.36,Warning
307902,13.02,20.54,1002.68,39.50,88.38,Warning
309920,13.26,20.53,1002.68,39.49,88.37,Warning
311938,13.26,20.53,1002.68,39.50,88.36,Warning
313956,13.26,20.53,1002.68,39.50,88.35,Warning
315976,13.26,20.53,1002.68,39.49,88.35,Warning
317994,13.26,20.53,1002.68,39.52,88.37,Warning
320012,13.49,20.53,1002.68,39.54,88.37,Warning
322030,13.49,20.53,1002.68,39.55,88.36,Warning
324048,13.26,20.53,1002.69,39.52,88.33,Warning
326066,13.26,20.53,1002.69,39.52,88.32,Warning
328084,13.26,20.53,1002.69,39.52,88.27,Warning
330102,13.26,20.53,1002.69,39.52,88.29,Warning
332120,13.26,20.53,1002.69,39.51,88.27,Warning
334138,13.26,20.53,1002.69,39.52,88.27,Warning
336156,13.26,20.53,1002.70,39.52,88.24,Warning
338183,13.49,20.52,1002.69,39.54,88.27,Warning
340201,13.26,20.52,1002.70,39.56,88.20,Warning
342219,13.26,20.52,1002.70,39.54,88.20,Warning
344237,13.26,20.52,1002.71,39.57,88.16,Warning
346255,13.26,20.52,1002.71,39.60,88.15,Warning
348273,13.26,20.52,1002.71,39.61,88.14,Warning
350291,13.26,20.52,1002.71,39.62,88.14,Warning
352309,13.26,20.52,1002.71,39.62,88.12,Warning
354327,13.26,20.52,1002.71,39.64,88.14,Warning
356345,13.02,20.52,1002.71,39.64,88.16,Warning
358363,13.26,20.52,1002.71,39.66,88.11,Warning
360383,13.26,20.52,1002.71,39.64,88.12,Warning
362401,13.49,20.52,1002.71,39.64,88.12,Warning
364460,13.26,20.52,1002.71,39.66,88.14,Warning
366515,13.49,20.52,1002.71,39.68,88.14,Warning
368533,13.26,20.52,1002.72,39.64,88.06,Warning
370551,13.26,20.52,1002.73,39.64,87.96,Warning
372569,13.49,20.52,1002.74,39.66,87.84,Warning
374587,13.49,20.52,1002.75,39.64,87.82,Warning
376605,13.49,20.52,1002.75,39.64,87.82,Warning
378623,13.73,20.52,1002.74,39.66,87.84,Warning
380643,13.49,20.52,1002.75,39.66,87.82,Warning
382661,13.26,20.52,1002.75,39.63,87.81,Warning
384679,13.49,20.52,1002.75,39.62,87.79,Warning
386697,13.49,20.52,1002.75,39.62,87.79,Warning
388715,13.49,20.52,1002.74,39.60,87.84,Warning
390733,13.73,20.52,1002.74,39.62,87.91,Warning
392751,13.73,20.52,1002.73,39.60,87.94,Warning
394769,13.49,20.52,1002.74,39.60,87.91,Warning
396787,13.73,20.52,1002.73,39.60,87.95,Warning
398805,13.73,20.52,1002.73,39.60,87.95,Warning
400823,13.73,20.52,1002.73,39.62,87.95,Warning
402843,13.73,20.52,1002.73,39.60,87.94,Warning
404861,13.73,20.52,1002.73,39.58,87.94,Warning
406879,13.73,20.52,1002.73,39.60,87.98,Warning
408897,13.73,20.52,1002.73,39.60,87.99,Warning
410915,13.97,20.52,1002.73,39.60,87.93,Warning
412933,13.73,20.52,1002.73,39.58,87.93,Warning
414951,13.73,20.52,1002.74,39.57,87.90,Warning
416969,13.73,20.52,1002.74,39.60,87.89,Warning
418987,13.73,20.52,1002.74,39.60,87.86,Warning
421005,13.73,20.52,1002.75,39.60,87.83,Warning
423023,13.97,20.52,1002.74,39.61,87.86,Warning
425043,14.21,20.52,1002.74,39.58,87.86,Warning
427061,14.21,20.52,1002.74,39.58,87.86,Warning
429079,13.73,20.52,1002.74,39.56,87.89,Warning
431097,13.73,20.52,1002.74,39.54,87.84,Warning
433115,13.73,20.52,1002.75,39.56,87.83,Warning
435133,13.73,20.52,1002.75,39.51,87.81,Warning
437151,13.49,20.52,1002.75,39.49,87.82,Warning
439169,13.73,20.52,1002.74,39.49,87.84,Warning
441187,13.73,20.52,1002.75,39.47,87.82,Warning
443205,13.73,20.52,1002.75,39.50,87.82,Warning
445225,13.73,20.52,1002.75,39.50,87.82,Warning
447243,13.73,20.52,1002.75,39.47,87.78,Warning
449261,13.73,20.52,1002.76,39.47,87.74,Warning
451279,13.73,20.51,1002.75,39.47,87.79,Warning
453297,13.49,20.51,1002.76,39.49,87.74,Warning
455315,13.73,20.51,1002.76,39.50,87.71,Warning
457333,13.73,20.51,1002.76,39.50,87.70,Warning
459351,13.73,20.51,1002.76,39.49,87.69,Warning
461369,13.97,20.51,1002.77,39.46,87.64,Warning
463387,14.21,20.51,1002.76,39.49,87.68,Warning
465405,13.97,20.51,1002.76,39.45,87.68,Warning
467425,13.97,20.51,1002.76,39.46,87.66,Warning
469443,13.97,20.51,1002.77,39.47,87.62,Warning
471461,13.97,20.51,1002.77,39.46,87.61,Warning
473479,13.73,20.51,1002.77,39.46,87.60,Warning
475497,13.73,20.51,1002.78,39.49,87.57,Warning
477515,13.73,20.51,1002.78,39.49,87.53,Warning
479533,13.73,20.51,1002.78,39.47,87.51,Warning
481551,13.73,20.51,1002.78,39.47,87.58,Warning
483569,13.73,20.51,1002.78,39.50,87.58,Warning
485587,13.73,20.51,1002.78,39.47,87.58,Warning
487605,13.73,20.51,1002.78,39.49,87.58,Warning
489625,13.73,20.51,1002.78,39.47,87.56,Warning
491643,13.73,20.51,1002.78,39.47,87.55,Warning
493661,13.49,20.51,1002.78,39.47,87.52,Warning
495679,13.26,20.51,1002.78,39.47,87.51,Warning
497697,13.49,20.51,1002.79,39.49,87.46,Warning
499715,13.26,20.51,1002.79,39.50,87.46,Warning
501733,13.73,20.51,1002.79,39.49,87.46,Warning
503751,13.73,20.51,1002.79,39.47,87.47,Warning
505769,13.49,20.51,1002.79,39.45,87.46,Warning
507787,13.49,20.51,1002.79,39.45,87.46,Warning
509814,13.49,20.51,1002.79,39.45,87.44,Warning
511832,13.26,20.51,1002.79,39.46,87.44,Warning
513850,13.02,20.51,1002.79,39.45,87.45,Warning
515868,13.26,20.51,1002.79,39.47,87.46,Warning
517886,13.26,20.51,1002.79,39.46,87.46,Warning
519904,13.49,20.51,1002.79,39.46,87.46,Warning
